#Time_Logged	#Tx_Start	#Tone	#Lat	#Long	#Power	#Accuracy	#Mode
2024-03-14_14:16:01	2024-03-14_14:16:01	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:01	2024-03-14_14:16:01	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:02	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:03	2024-03-14_14:16:03	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:04	2024-03-14_14:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:05	2024-03-14_14:16:05	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_14:16:07	2024-03-14_14:16:07	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_14:16:08	2024-03-14_14:16:08	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_14:16:09	2024-03-14_14:16:09	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_14:16:14	2024-03-14_14:16:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:14	2024-03-14_14:16:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:14	2024-03-14_14:16:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:14	2024-03-14_14:16:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:14	2024-03-14_14:16:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:14	2024-03-14_14:16:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:14	2024-03-14_14:16:14	2	40.7128	-74.006	0	1.0	Active
2024-03-14_14:16:15	2024-03-14_14:16:15	2	40.7128	-74.006	0	1.0	Active
