#Time_Logged	#Tx_Start	#Tone	#Lat	#Long	#Power	#Accuracy	#Mode
2024-03-22_03:41:29	2024-03-22_03:41:28	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:41:31	2024-03-22_03:41:29	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:41:32	2024-03-22_03:41:31	2	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:33	2024-03-22_03:41:33	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:34	2024-03-22_03:41:34	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:35	2024-03-22_03:41:35	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:36	2024-03-22_03:41:36	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:37	2024-03-22_03:41:37	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:38	2024-03-22_03:41:38	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:39	2024-03-22_03:41:39	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:40	2024-03-22_03:41:40	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:41:42	2024-03-22_03:41:40	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:41:43	2024-03-22_03:41:42	2	40.7128	-74.006	0	1.0	Active
