#Time_Logged	#Tx_Start	#Tone	#Lat	#Long	#Power	#Accuracy	#Mode
2024-03-22_03:20:40	2024-03-22_03:20:38	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:20:41	2024-03-22_03:20:40	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:20:43	2024-03-22_03:20:41	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:20:45	2024-03-22_03:20:43	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:20:46	2024-03-22_03:20:45	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:20:48	2024-03-22_03:20:46	2	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:48	2024-03-22_03:20:48	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:49	2024-03-22_03:20:49	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:50	2024-03-22_03:20:50	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:51	2024-03-22_03:20:51	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:52	2024-03-22_03:20:52	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:53	2024-03-22_03:20:53	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:54	2024-03-22_03:20:54	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:55	2024-03-22_03:20:55	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:56	2024-03-22_03:20:56	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:57	2024-03-22_03:20:57	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:58	2024-03-22_03:20:58	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:20:59	2024-03-22_03:20:59	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:21:00	2024-03-22_03:21:00	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:21:01	2024-03-22_03:21:01	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:21:02	2024-03-22_03:21:02	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:21:03	2024-03-22_03:21:03	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:21:04	2024-03-22_03:21:04	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-22_03:21:06	2024-03-22_03:21:05	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:08	2024-03-22_03:21:07	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:10	2024-03-22_03:21:08	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:11	2024-03-22_03:21:10	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:13	2024-03-22_03:21:11	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:15	2024-03-22_03:21:13	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:16	2024-03-22_03:21:15	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:18	2024-03-22_03:21:16	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:20	2024-03-22_03:21:18	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:21	2024-03-22_03:21:20	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:23	2024-03-22_03:21:21	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:24	2024-03-22_03:21:23	2	40.7128	-74.006	0	1.0	Active
2024-03-22_03:21:26	2024-03-22_03:21:24	2	40.7128	-74.006	0	1.0	Active
