#Time_Logged	#Tx_Start	#Tone	#Lat	#Long	#Power	#Accuracy	#Mode
2024-03-14_17:15:36	2024-03-14_17:15:36	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:37	2024-03-14_17:15:37	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:38	2024-03-14_17:15:38	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:39	2024-03-14_17:15:39	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:40	2024-03-14_17:15:40	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:41	2024-03-14_17:15:41	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:42	2024-03-14_17:15:42	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:43	2024-03-14_17:15:43	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:44	2024-03-14_17:15:44	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:45	2024-03-14_17:15:45	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:46	2024-03-14_17:15:46	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:48	2024-03-14_17:15:48	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:49	2024-03-14_17:15:49	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:50	2024-03-14_17:15:50	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:51	2024-03-14_17:15:51	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:52	2024-03-14_17:15:52	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:53	2024-03-14_17:15:53	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:54	2024-03-14_17:15:54	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:55	2024-03-14_17:15:55	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:15:57	2024-03-14_17:15:56	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:15:59	2024-03-14_17:15:57	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:00	2024-03-14_17:15:59	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:02	2024-03-14_17:16:01	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:04	2024-03-14_17:16:02	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:05	2024-03-14_17:16:04	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:07	2024-03-14_17:16:05	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:09	2024-03-14_17:16:07	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:10	2024-03-14_17:16:09	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:12	2024-03-14_17:16:10	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:14	2024-03-14_17:16:12	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:14	2024-03-14_17:16:14	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:15	2024-03-14_17:16:15	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:16	2024-03-14_17:16:16	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:17	2024-03-14_17:16:17	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:18	2024-03-14_17:16:18	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:19	2024-03-14_17:16:19	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:20	2024-03-14_17:16:20	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:21	2024-03-14_17:16:21	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:23	2024-03-14_17:16:21	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:25	2024-03-14_17:16:23	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:26	2024-03-14_17:16:25	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:28	2024-03-14_17:16:26	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:29	2024-03-14_17:16:28	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:31	2024-03-14_17:16:30	2	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:31	2024-03-14_17:16:31	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:32	2024-03-14_17:16:32	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:33	2024-03-14_17:16:33	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:34	2024-03-14_17:16:34	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:35	2024-03-14_17:16:35	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:36	2024-03-14_17:16:36	2 kHz	40.7128	-74.006	0	1.0	Passive
2024-03-14_17:16:38	2024-03-14_17:16:36	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:40	2024-03-14_17:16:38	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:41	2024-03-14_17:16:40	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:43	2024-03-14_17:16:41	2	40.7128	-74.006	0	1.0	Active
2024-03-14_17:16:45	2024-03-14_17:16:43	2	40.7128	-74.006	0	1.0	Active
